sex,age,L,M,S
M,115,0.0008 ,136.5569 ,0.0411 
M,116,-0.0191 ,137.0113 ,0.0412 
M,117,-0.0386 ,137.4656 ,0.0414 
M,118,-0.0579 ,137.9199 ,0.0415 
M,119,-0.0768 ,138.3742 ,0.0416 
M,120,-0.0752 ,138.8473 ,0.0417 
M,121,-0.0736 ,139.3205 ,0.0419 
M,122,-0.0720 ,139.7936 ,0.0420 
M,123,-0.0705 ,140.2667 ,0.0422 
M,124,-0.0689 ,140.7398 ,0.0423 
M,125,-0.0674 ,141.2130 ,0.0424 
M,126,-0.0489 ,141.7059 ,0.0426 
M,127,-0.0308 ,142.1987 ,0.0428 
M,128,-0.0131 ,142.6916 ,0.0430 
M,129,0.0041 ,143.1844 ,0.0432 
M,130,0.0209 ,143.6773 ,0.0434 
M,131,0.0373 ,144.1701 ,0.0436 
M,132,0.0886 ,144.7010 ,0.0438 
M,133,0.1383 ,145.2319 ,0.0441 
M,134,0.1864 ,145.7627 ,0.0443 
M,135,0.2331 ,146.2935 ,0.0445 
M,136,0.2784 ,146.8242 ,0.0448 
M,137,0.3223 ,147.3549 ,0.0450 
M,138,0.4064 ,147.9321 ,0.0453 
M,139,0.4882 ,148.5094 ,0.0455 
M,140,0.5676 ,149.0866 ,0.0457 
M,141,0.6448 ,149.6638 ,0.0459 
M,142,0.7199 ,150.2409 ,0.0462 
M,143,0.7929 ,150.8180 ,0.0464 
M,144,0.8928 ,151.4223 ,0.0465 
M,145,0.9910 ,152.0268 ,0.0466 
M,146,1.0877 ,152.6312 ,0.0467 
M,147,1.1829 ,153.2358 ,0.0468 
M,148,1.2764 ,153.8404 ,0.0469 
M,149,1.3684 ,154.4450 ,0.0470 
M,150,1.4580 ,155.0459 ,0.0469 
M,151,1.5475 ,155.6468 ,0.0469 
M,152,1.6370 ,156.2477 ,0.0468 
M,153,1.7263 ,156.8487 ,0.0467 
M,154,1.8155 ,157.4497 ,0.0466 
M,155,1.9045 ,158.0507 ,0.0465 
M,156,2.0111 ,158.6245 ,0.0463 
M,157,2.1194 ,159.1984 ,0.0460 
M,158,2.2294 ,159.7724 ,0.0457 
M,159,2.3410 ,160.3465 ,0.0454 
M,160,2.4544 ,160.9207 ,0.0452 
M,161,2.5694 ,161.4949 ,0.0449 
M,162,2.6754 ,162.0038 ,0.0445 
M,163,2.7844 ,162.5128 ,0.0440 
M,164,2.8966 ,163.0218 ,0.0436 
M,165,3.0121 ,163.5308 ,0.0431 
M,166,3.1309 ,164.0398 ,0.0427 
M,167,3.2531 ,164.5488 ,0.0423 
M,168,3.3119 ,164.9650 ,0.0417 
M,169,3.3725 ,165.3813 ,0.0412 
M,170,3.4351 ,165.7975 ,0.0407 
M,171,3.4998 ,166.2138 ,0.0402 
M,172,3.5666 ,166.6301 ,0.0397 
M,173,3.6357 ,167.0464 ,0.0392 
M,174,3.6315 ,167.3647 ,0.0388 
